Track ID,Title,Album,Artist,BPM,Comment,Composer,Genre,Grouping,ISRC,Lyrics,ProNumber,Release Date,Year,External ID,Tag category: Mood/feel,Tag category: Lyric themes,Tag category: Tempo,Tag category: Instrument,Tag category: Vocals,Tag category: Genre,Tag category: Type,Internal comment,Client comment,track_formats,[read-only] Duration,Writer 1 Name,Writer 1 Percentage,Writer 1 PRO,Writer 1 Publisher,Writer 2 Name,Writer 2 Percentage,Writer 2 PRO,Writer 2 Publisher,Writer 3 Name,Writer 3 Percentage,Writer 3 PRO,Writer 3 Publisher,Writer 4 Name,Writer 4 Percentage,Writer 4 PRO,Writer 4 Publisher
44077375,TIL I'M DYIN' I'M TRYIN' - INSTRO,Busting Out,Music Maykers,96,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Music Maykers, LLC 
Contact Greg Putnam @ 309-530-4626 
contact@musicmaykers.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,"Rock, Pop, Indie",ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00099,,911311979,,2024,,"Warm, Uplifting, Upbeat, Reflective, Positive, Hopeful, Happy, Fun, Cool, Confident, Bright, Anthemic",,Midtempo,"Synth, Percussion, Electric guitar, Drums, Bass, Acoustic guitar",Instrumental,"Rock, Pop, Indie, Folk","One stop, Mainstream, Easy-clear",,,"wav,mp3",0:03:25,Gregory D Putnam,50,ASCAP,G Putnam Music,Erik William Nelson,50,ASCAP,ERSHKINSONGS,,,,,,,,
44080078,IMAGINE IF - INSTRO,Remembering Forgetting,Music Maykers,61,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Music Maykers, LLC 
Contact Greg Putnam @ 309-530-4626 
contact@musicmaykers.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,Singer/Songwriter,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-20-00105,,906109598,,2024,,"Warm, Reflective, Light, Hopeful, Emotive, Dreamy, Dramatic, Cool, Atmospheric",,"Slow, Downtempo","Strings, Piano, Electric guitar, Drums, Bass",Instrumental,"World, Vintage, Singer/songwriter, Rock, Indie, Folk","Recognizable, One stop, Mainstream, Easy-clear",,,"wav,mp3",0:03:27,Zach Garrett,50,ASCAP,G Putnam Music,Erik William Nelson,50,ASCAP,ERSHKINSONGS,,,,,,,,
44080109,SOMEWHERE INSIDE - INSTRO,Desperate & Dirty,Music Maykers,69,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Music Maykers, LLC 
Contact Greg Putnam @ 309-530-4626 
contact@musicmaykers.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (100%) ASCAP,"Piano, Ambient",ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00018,,911311726,,,,"Warm, Uplifting, Romantic, Reflective, Positive, Hopeful, Emotive",,Slow,"Strings, Piano, Electric guitar, Drums, Bass",Instrumental,Ambient,,,,"wav,mp3",0:03:59,Gregory D Putnam,100,ASCAP,G Putnam Music,,,,,,,,,,,,
63893177,MY BABY LEFT ME - INSTRO,Slight Light,Music Maykers,71,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Music Maykers, LLC 
Contact Greg Putnam @ 309-530-4626 
contact@musicmaykers.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (100%) ASCAP,"Folk Rock, BGVs-OHs",ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00097,Available,914229847,,2019,,"Warm, Uplifting, Reflective, Positive, Moody, Hopeful, Emotive, Atmospheric",,Slow,"Piano, Electric guitar, Drums, Bass, Acoustic guitar",Instrumental,"Rock, Indie, Folk, Country","One stop, Mainstream, Easy-clear",,,"wav,mp3",0:03:46,Gregory D Putnam,100,ASCAP,G Putnam Music,,,,,,,,,,,,
64057105,TIL I'M DYIN' I'M TRYIN',Cowboy Country,Zach Linley,96,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Music Maykers, LLC 
Contact Greg Putnam @ 309-530-4626 
contact@musicmaykers.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (50%) ASCAP Patrik Sheridan (50%) ASCAP,Country,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00099,"Vocalist: Zach Linley - Dallas, TX

V1   
The plant closed – moved to Mexico  
So much for investin' -- here at home  
Ain’t no work now in our small town  
Just take a look around – kind’a run-down  

V1a
My girl left after I lost my job  
Went back to live with her mom n’  
Really…I mean…who can blame her (Oh, man)   
Good luck’s been a stranger 

Ch   
Get up every mornin’ -- doin’ my best   
Reminding myself how I’m truly blessed  
Got my health, yeah, n’ I got my pride  
No matter what, I’m gettin’ by…  
Till I’m dyin' I’m tryin' 

V2
Could move away – leave this life I made  
But my great great grand-folks came in 1908  
Family - a few friends – that’s all I got left (except’)  
An empty house full ‘a debt n’ regret 

Ch2
Get up every mornin’ -- doin’ my best   
Reminding myself how I’m truly blessed  
Got my health, yeah, n’ I got my pride  
No matter what, I’m gettin’ by…  
Till I’m dyin’, I’m tryin’ 

Br 
I want things to change   
[Don't wanna explain] Gonna go insane 
Feel tired n’ alone   
What’s left in my soul  
Just enough to keep on a’ [tryin’]

Ch3
Get up every mornin’ -- doin’ my best   
Reminding myself how I’m truly blessed  
Got my health, yeah, n’ I got my pride  
No matter what, I’m gettin’ by…  
Till I’m dying, I’m trying  
Oh, I keep on trying
Til I’m dying, I’m trying
Oh, I keep on trying",911311979,,2024,,"Upbeat, Reflective, Positive, Moody, Hopeful, Gritty, Emotive, Confident, Cinematic, Atmospheric","Work, Survival, Life, Individuality, Hope, Heartbreak, Destiny, Carry on, Can do, Breakup, Believe, Loneliness, Relationship, Struggle, Success",Midtempo,"Synth, Percussion, Electric guitar, Drums, Bass, Acoustic guitar","Male vocal, Background vocals","Rock, Country","Recognizable, One stop, Mainstream, Easy-clear",,,"wav,mp3",0:03:25,Gregory D Putnam,50,ASCAP,G Putnam Music,Erik William Nelson,50,,,,,,,,,,
64057117,YOU STOP TALKING - East Houston 1988,Vintage,Scott Monti,96,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Music Maykers, LLC 
Contact Greg Putnam @ 309-530-4626 
contact@musicmaykers.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (1000%) ASCAP,Vintage Rock,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00137,"Holding hands the other day
Chasing words we never say
Seems you won't take the time
My song n' dance ain't worth a dime
Behind you hide those roaming hills
Your distant eyes give me the chills
So I pull you close to me, but
Your eyes fly n’ I can’t see
You stop talking
You won't say what's on your mind
You stop talking
Your eyes say that there's nothin' left to find n’
I start walking…walking away
Will you please give me a hand
Somehow to try to understand
If you would just give me a chance
To explain the circumstance
You aim your every word (like)
You saw those things you heard
There's no way that you can see
They're just stories – baby, it’s not me
You stop talking
You won't say what's on your mind
You stop talking
Your eyes say that there's nothin' left to find n’
I start walking…walking away
By now we've gone too far
To be here the way we are…
When you look into my eyes
Can't you see my words aren't lies
There's no one else quite like you
Who makes me smile the way you that you do
There’s no reason for you to hide 
C’mon girl, let me back inside
You stop talking
You won't say what's on your mind
You stop talking
Your eyes say that there's nothin' left to find n’
I start walking…walking away
You stop talkin'
You won't say what's on your mind
You stop talkin'
Your eyes say that there's nothin' left to find……",911307337,,1988,,"Upbeat, Retro","Searching, Love, Breakup, Connection, Identity, Relationship, Struggle","Uptempo, Midtempo","Synth, Percussion, Electric guitar, Drums, Bass, Acoustic guitar",Male vocal,"Vintage, Rock, Indie","Recognizable, One stop, Easy-clear",,,"wav,mp3",0:03:36,,,,,,,,,,,,,,,,
64057123,CROSSIN' WIRES - Rec'd 1988 - East Houston,VINTAGE,Scott Monti,76,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Music Maykers, LLC 
Contact Greg Putnam @ 309-530-4626 
contact@musicmaykers.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (100%) ASCAP,Vintage 1988,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00128,"I still stare through your blowing hair
When I go places we used to go n’
I still care though you’re never there 
When I see faces we used to know
My heart’s inside each second
Still craving to be reckoned
Crossin’ wires is never fair
Crossin’ wires like you just don’t care
What am I supposed to do with my broken heart
How’m I gonna keep it from falling apart
‘What am I going to do when the pieces fall
What am I gonna do when my eyes tell all
Every dawn this world feels so strange
I keep thinking I’ll wake up to your smile
Every dusk – see the world has not changed
Memories sweep circles – they won’t reconcile
My heart drags through each minute
Goes so slow when you’re not in it
Crossin’ wires is never fair n’ 
Crossin' wires n' mine are bare
What am I supposed to do with my broken heart
How’m I gonna keep it from falling apart
‘What am I going to do when the pieces fall
What am I gonna do when my eyes tell all
I still stare through the cold night air
My mind goes places – but I don’t know where n’
I still care though you’re not here
Lost in spaces of my despair
My heart trails each dragging hour
Times sweet taste is growing sour
Crossing wires is never fair
Crossing wires like you just don’t care
What am I supposed to do with my broken heart
How’m I gonna keep it from falling apart
‘What am I going to do when the pieces fall
What am I gonna do when my eyes tell all
What am I gonna with this broken heart
When you’re just not there?
What am I gonna with this broken heart
When you just don’t care…
What am I gonna with this broken heart",911307337,,1988,,"Upbeat, Sad, Retro, Reflective, Moody, Emotive, Dramatic, Dark","Searching, Life, Individuality, Heartbreak, Breakup, Longing, Loss, Regret, Struggle","Slow, Midtempo","Piano, Electric guitar, Drums, Bass, Acoustic guitar","Male vocal, Background vocals","Vintage, Rock, Indie","Recognizable, One stop, Mainstream, Easy-clear",,,"wav,mp3",0:03:50,Gregory D Putnam,100,ASCAP,G Putnam Music,,,,,,,,,,,,
64057147,FEEL FREE - INSTRO,Desperate n’ Dirty,Music Maykers,114,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Music Maykers, LLC 
Contact Greg Putnam @ 309-530-4626 
contact@musicmaykers.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (34%) ASCAP Erik Nelson (33%) ASCAP Patrik Sheridan (33%) ASCAP,"Pop, Country",ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00019,,911309907,,2024,,"Warm, Uplifting, Upbeat, Reflective, Positive, Hopeful, Happy, Fun, Emotive, Cool, Confident, Building, Bright, Anthemic",,"Uptempo, Midtempo","Piano, Electric guitar, Drums, Bass, Acoustic guitar",Instrumental,"Singer/songwriter, Rock, Pop, Indie","One stop, Mainstream, Easy-clear",,,"wav,mp3",0:03:27,Erik William Nelson,50,ASCAP,ERSHKINSONGS,,,,,,,,,,,,
64057224,MISTY MIDNIGHT BLUE,NATU Ought To,NATU Visinia,110,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Music Maykers, LLC 
Contact Greg Putnam @ 309-530-4626 
contact@musicmaykers.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,Pop/Country,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00138,"It’s all the distance n’ 
Feelin’ what’s missin’ 
When there’s no phone call 
Don’t hear nothin’ at all n’ 
Nobody's list'nin'  
Starin' at the stars   
Wond'rin where you are  
Wherever - it's too far 
Guess who's the fool who's 
Losin' himself -- after losin' you 
I've stared at sunsets 
Felt how cold nights get n'
How slow time always goes 
When ev'ry night I know
The sun's gonna find the moon n'  
This heartache's gonna bring  me you 
You - my misty Midnight Blue 
You - my misty Midnight Blue
Life's never perfect 
You made it worth it 
Until you left me 
On that cold mornin' 
Now nothin' is workin'  
I've stared at sunsets 
Felt how cold nights get n'
How slow time always goes 
When ev'ry night I know
The sun's gonna find the moon n'  
This heartache's gonna bring  me you 
You - my misty Midnight Blue 
You - my misty Midnight Blue
Now, here I am all alone  
Singin' to the night ... n' you 
You...you...you 
You...you...you 
I've stared at sunsets 
Felt how cold nights get n' 
How slow time always goes 
When ev'ry night I know 
The sun's gonna find the moon n'  
This Heartache's gonna bring me you 
You - my misty Midnight Blue 
You - my misty Midnight Blue 
You...you...you ",909618667,,2023,,"Uplifting, Sad, Reflective, Moody, Cinematic, Catchy, Bright, Atmospheric, Anthemic","Survival, Searching, Hope, Heartbreak, Longing, Loss, Time",Uptempo,"Synth, Piano, Electric guitar, Bass, drum machine","Male vocal, Background vocals","Singer/songwriter, Pop","One stop, Mainstream, Easy-clear",,,"wav,mp3",0:03:19,Erik William Nelson,50,ASCAP,ERSHKINSONGS,Gregory D Putnam,50,ASCAP,G Putnam Music,,,,,,,,
64057298,OH SO CASUALLY,The Struggle,Katie Beste,91,"HERE FOR YOUR EAR!

Let's please chat. 
 
ONE STOP 
Music Maykers, LLC 
Contact Greg Putnam @ 309-530-4626 
contact@musicmaykers.com  
ASCAP 802139278 (Writer)  
ASCAP 848819778 (Publisher) 
Featured songwriter recognized by TRO-ESSEX 
Several placements in past year.  
 
Thanks for listening! 
Greg",G Putnam (50%) ASCAP Patrik Sheridan (50%) ASCAP,Mod Country,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00070,"Ev’ry mornin’ I wake up - thinkin’ ‘bout you
Ev’ry day I do my thing - just gettin’ through
Ev’ry ev’nin’ I go home - hopin' somethin’s new
Ev’ry night watch the same ol’ the sky -- without a clue 
Can’t get you outa’ my heart 
Can’t get you outa’ my dreams 
I’ve searched ev’ry star 
Crawled up ev’ry moonbeam 
Don’t understand this pain 
Sure don’t know what love means 
Since you left me.......oh so casually 
Ev’ry thought turns to memories - about you and I
Ev’ry question finds no end - ‘cept the lonely night
Any answer’s so far away - behind a million whys
Ev’ry reason’s so timeless - inside the word goodbye 
Can’t get you outa’ my heart 
Can’t get you outa’ my dreams 
I’ve searched ev’ry star 
Crawled up ev’ry moonbeam 
Don’t understand this pain 
Sure don’t know what love means 
Since you left me.......oh so casually 
You act like nothin’s wrong
Ignore ev’ry thin’ we done
I come close – you turn away
Like you don’t even know my name
It’s all right (2x) 
It was one – big – lie 
Can’t get you outa’ my heart 
Can’t get you outa’ my dreams 
I’ve searched ev’ry star 
Crawled up ev’ry moonbeam 
Don’t understand this pain 
Sure don’t know what love means 
Since you left me.......oh so casually",911307737,,,,"Upbeat, Reflective, Powerful, Positive, Confident, Bright","Love, Heartbreak, Loneliness, Pain, Regret, Relationship","Uptempo, Midtempo","Organ, Electric guitar, Drums, Bass, Acoustic guitar",Female vocal,"Singer/songwriter, Rock, Pop, Country","One stop, Mainstream, Easy-clear",,,"wav,mp3",0:03:22,Patrik J Sheridan,50,ASCAP,G Putnam Music,Gregory D Putnam,50,ASCAP,G Putnam Music,,,,,,,,
