id,title,artist,album,url,duration,bpm,genre
44077375,TIL I'M DYIN' I'M TRYIN' - INSTRO,gputnam,Busting Out,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/65695d0a-d4bd-4785-a889-22468a738478.mp3?response-content-disposition=attachment%3B%20filename%3D%2244077375.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=%2BWVvmi4QB2Iwj2juDRIv3cLC7iQ%3D&Expires=1767994983,0:03:25,96.0,"Rock, Pop, Indie"
44080078,IMAGINE IF - INSTRO,G Putnam Music,Remembering Forgetting,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/03af10d6-8eab-45da-ac2f-4c0df6d874bb.mp3?response-content-disposition=attachment%3B%20filename%3D%2244080078.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=wfdyO16bOe%2BrqRwIoADQ5kExjeU%3D&Expires=1767994983,0:03:27,61.0,Singer/Songwriter
44080109,SOMEWHERE INSIDE - INSTRO,Cindy Youngren,Clearly,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/330242f0-cd74-4a4e-9a4d-3f922c9baa6c.mp3?response-content-disposition=attachment%3B%20filename%3D%2244080109.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=tWXcElmItKYiRN6mxDZrUoQBmPQ%3D&Expires=1767994983,0:03:59,69.0,"Pop, Indie "
63893177,MY BABY LEFT ME - INSTRO,G Putnam Music,Slight Light,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/a4ebb8ae-2879-4874-8da4-0e200fabe52f.mp3?response-content-disposition=attachment%3B%20filename%3D%2263893177.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=kleaVEQKt4Mw4JNqykBy%2BmdxE8k%3D&Expires=1767994983,0:03:46,71.0,"Folk Rock, BGVs-OHs"
64057105,TIL I'M DYIN' I'M TRYIN',Zach Linley,Cowboy Country,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/8c9fa775-e805-44b4-a574-b73b8fbc45ae.mp3?response-content-disposition=attachment%3B%20filename%3D%2264057105.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=xlRXaV74Y4EVph40DKZB506aDmI%3D&Expires=1767994983,0:03:25,96.0,Country
64057117,YOU STOP TALKING - East Houston 1988,Scott Monti,Vintage,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/1050761b-8586-4bbf-b697-318add0d1dc3.mp3?response-content-disposition=attachment%3B%20filename%3D%2264057117.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=1l8SVnoIGjWwvUTZ95Jjge5pFBQ%3D&Expires=1767994983,0:03:36,96.0,Vintage Rock
64057123,CROSSIN' WIRES - Rec'd 1988 - East Houston,Scott Monti,VINTAGE,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/6dd6f1dd-d5ea-4637-aed5-f9d400d4e779.mp3?response-content-disposition=attachment%3B%20filename%3D%2264057123.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=VQ41hk6S9nb2zEK5geZW0P%2BIxKk%3D&Expires=1767994983,0:03:50,76.0,Vintage 1988
64057147,FEEL FREE - INSTRO,G Putnam Music,Desperate n’ Dirty,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/44d3735d-cd1a-4429-a2b2-28ea9ff102d9.mp3?response-content-disposition=attachment%3B%20filename%3D%2264057147.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=LSJx24W1%2FaObXJ6GX2ImfjCY%2Bsg%3D&Expires=1767994983,0:03:27,114.0,"Pop, Country"
64057224,MISTY MIDNIGHT BLUE,NATU Visinia,NATU Ought To,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/65b1c1d2-d8cd-44f4-b02a-53d0275e74d2.mp3?response-content-disposition=attachment%3B%20filename%3D%2264057224.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=PEYp62mfUANyVTY4aHQczlto%2Bq0%3D&Expires=1767994983,0:03:19,110.0,Pop/Country
64057298,OH SO CASUALLY,Katie Beste,The Struggle,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/e50fc542-b0cf-4525-9316-ee053b3be6b4.mp3?response-content-disposition=attachment%3B%20filename%3D%2264057298.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=jwXBU5adEwiMJjS8x8yIushbiCc%3D&Expires=1767994983,0:03:22,91.0,Mod Country
64057475,ANOTHER DANCE,Reed,Sexy Swagger,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/c55a8dc8-4631-48e4-9b36-70f7baa15303.mp3?response-content-disposition=attachment%3B%20filename%3D%2264057475.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=myzAjBPCDgzMYXbFjLVRVQ4qLvw%3D&Expires=1767994983,0:03:18,87.0,Singer/Songwriter Rock Indie Folk
64057483,SWEETER THAN MINE - INSTRO,G Putnam Music,Pretty Pop,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/f72607cc-3d72-4c51-9c1d-751191094aee.mp3?response-content-disposition=attachment%3B%20filename%3D%2264057483.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=amfzZktjOzHEVHVJBWC%2FDsI31T0%3D&Expires=1767994983,0:02:53,168.0,Indie
64057722,TIME'S PRESENT - Indie Pop - Teen,Amanda Blake,Change Me,https://l2-disco-data-us.s3.amazonaws.com/media/trackfiles/70ebe57e-9ce7-4de6-8238-b4d5f9991a01.mp3?response-content-disposition=attachment%3B%20filename%3D%2264057722.mp3%22&AWSAccessKeyId=AKIARBQWSWOVHNCCOKFH&Signature=uN7gXQS6dtP3Y4axln8ds85%2BezQ%3D&Expires=1767994983,0:02:41,124.0,Indie Pop
